"RID","Order","Chose_R","Loc.SameValley_Diff","Loc.City_Diff","Wealth.High_Diff","Wealth.Med_Diff","Trust.Med_Diff","Trust.High_Diff","Good.Med_Diff","Good.High_Diff","Relig.Other_Diff","Pueblo.Other_Diff","Population","Version","Age","Sex","School_Yrs","NetIncome"
1,2,0,-1,0,0,0,0,0,1,-1,0,1,"Moseten","H",35,"male",10,-1200
1,10,1,1,0,0,0,1,-1,1,0,0,1,"Moseten","H",35,"male",10,-1200
1,11,0,0,0,0,0,-1,1,0,1,1,0,"Moseten","H",35,"male",10,-1200
1,8,0,0,0,0,0,0,0,0,0,1,1,"Moseten","H",35,"male",10,-1200
1,12,0,0,0,-1,1,0,0,-1,1,0,-1,"Moseten","H",35,"male",10,-1200
1,9,1,-1,1,0,0,1,0,-1,0,0,0,"Moseten","H",35,"male",10,-1200
1,16,1,0,0,0,0,1,0,-1,1,0,-1,"Moseten","H",35,"male",10,-1200
1,7,0,1,-1,0,0,1,0,-1,0,0,-1,"Moseten","H",35,"male",10,-1200
1,18,0,-1,0,0,-1,0,0,0,-1,1,1,"Moseten","H",35,"male",10,-1200
1,6,1,-1,1,-1,0,0,-1,1,0,1,-1,"Moseten","H",35,"male",10,-1200
1,17,0,1,-1,-1,1,0,-1,0,0,1,-1,"Moseten","H",35,"male",10,-1200
1,3,0,1,0,1,0,0,-1,0,0,0,1,"Moseten","H",35,"male",10,-1200
1,4,0,0,-1,1,0,-1,0,0,0,-1,0,"Moseten","H",35,"male",10,-1200
1,15,0,0,1,0,-1,-1,0,1,-1,1,0,"Moseten","H",35,"male",10,-1200
1,13,0,0,0,-1,0,0,-1,1,-1,1,1,"Moseten","H",35,"male",10,-1200
1,14,0,0,0,1,0,0,1,-1,1,1,0,"Moseten","H",35,"male",10,-1200
1,5,1,-1,1,0,-1,0,0,-1,1,0,0,"Moseten","H",35,"male",10,-1200
1,1,1,0,1,-1,1,-1,1,0,0,-1,0,"Moseten","H",35,"male",10,-1200
3,16,1,1,0,0,0,1,0,0,0,0,-1,"Intercultural","E",35,"male",12,6780
3,3,0,0,0,1,-1,-1,1,-1,0,1,0,"Intercultural","E",35,"male",12,6780
3,7,1,0,1,1,-1,1,-1,0,0,0,1,"Intercultural","E",35,"male",12,6780
3,12,1,0,-1,1,-1,1,0,1,0,-1,0,"Intercultural","E",35,"male",12,6780
3,15,1,-1,0,-1,0,0,1,0,0,0,0,"Intercultural","E",35,"male",12,6780
3,2,0,-1,0,0,-1,-1,1,0,0,1,0,"Intercultural","E",35,"male",12,6780
