RID,Order,Chose_R,Loc.SameValley_Diff,Loc.City_Diff,Wealth.High_Diff,Wealth.Med_Diff,Trust.Med_Diff,Trust.High_Diff,Good.Med_Diff,Good.High_Diff,Relig.Other_Diff,Pueblo.Other_Diff,Population,Version,Age,Sex,School_Yrs,NetIncome,Type,Nonanonymous_Play,Average_Given.Out
137,13,1,0,0,0,0,0,0,0,0,1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,14,1,1,0,0,0,0,0,-1,1,0,-1,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,5,1,1,0,0,0,0,1,0,1,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,15,1,0,0,0,1,1,-1,-1,1,-1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,4,1,0,1,0,0,-1,1,1,-1,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,2,1,-1,1,0,0,-1,1,0,0,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,7,0,0,0,0,0,1,-1,0,-1,1,1,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,9,0,-1,1,0,0,0,-1,1,-1,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,1,1,-1,1,1,-1,1,0,0,-1,-1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,11,1,0,0,1,-1,0,0,1,-1,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,6,1,0,0,-1,1,-1,1,-1,0,1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,17,0,-1,0,-1,0,0,1,0,0,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,3,1,1,0,0,0,1,0,0,0,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,16,0,0,-1,0,0,0,0,-1,0,1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,10,0,-1,0,0,0,-1,0,0,0,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,12,0,0,-1,0,1,-1,1,0,-1,1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,18,0,0,0,0,0,0,0,0,0,1,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
137,8,1,-1,1,0,0,0,0,0,-1,0,0,Intercultural,A,25,fem,12,-4300,Religion,FALSE,3
234,3,1,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,5,0,0,0,0,0,0,-1,-1,0,1,1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,11,1,1,0,0,-1,0,0,0,1,1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,14,1,0,1,0,0,1,-1,-1,1,0,1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,15,1,0,0,0,0,0,0,0,0,1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,10,0,-1,0,1,0,1,-1,1,-1,1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,2,0,0,0,-1,0,1,0,-1,0,1,-1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,8,0,-1,1,0,0,0,0,0,1,1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,4,0,1,0,1,-1,-1,0,1,-1,0,1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,16,0,0,-1,0,0,1,0,0,1,0,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,18,1,1,0,0,0,-1,0,0,0,1,-1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,12,1,0,0,1,0,-1,1,0,0,0,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,17,1,-1,1,0,0,1,-1,0,0,-1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,1,1,0,0,0,0,-1,1,0,1,-1,1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,7,0,0,-1,1,0,0,0,1,-1,1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,9,1,1,0,0,0,0,0,1,-1,-1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,13,0,0,1,1,0,0,0,-1,1,-1,0,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
234,6,1,-1,0,-1,0,0,-1,0,0,-1,1,Intercultural,D,40,male,7,-940,Pueblo,TRUE,3.333333333
136,3,1,1,-1,0,0,0,-1,-1,1,0,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,2,1,0,0,-1,0,1,0,-1,0,-1,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,14,0,0,1,0,0,1,-1,-1,1,0,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,18,1,1,0,0,0,-1,0,0,0,-1,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,16,1,0,-1,0,0,1,0,0,1,0,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
136,4,1,1,0,1,-1,-1,0,1,-1,0,0,Intercultural,D,40,fem,12,-3300,Religion,FALSE,0
