Agreeable,Self.Kept,Married,Food.Insecurity,Nonanonymous.Play,Extraverted,Ill.This.Mo,Income.zscore,IG.Avg,OG.Avg,Can.Stay,log.Subj.SES,Prod.Income.Drop,Market.Items.zscore,Dependency,Population,Places.Lived,Can.Borrow,Risk.Aversion,Years.Education,Shortfall.Summary,No.Neg.Stereos,Coop.Labor,Media.zscore,Sex.Male,Times.Church.Mo,Version,Visited.zscore,Age
6,0,TRUE,1,TRUE,8,0,-0.70002874,6,,1,1.945910149,0,-0.484151805,1,Intercultural,3,0,8,4,-1.428638469,,1,-0.777094538,FALSE,2,C,-0.788080217,60
4,3,TRUE,0,FALSE,5,0,-0.000399591,3,3,0,0.693147181,1,1.527221337,3,Intercultural,2,1,8,12,-0.692428023,,1,-0.216467429,FALSE,4,F,-0.338818335,30
4,5,FALSE,0.5,TRUE,7,0,-2.328537949,1.333333333,4,1,1.504077397,1,1.804283304,2,Intercultural,4,2,7,12,-0.634672863,,0,1.577539322,TRUE,1,D,2.356752952,40
10,1,TRUE,3,TRUE,8,0,-0.525841236,2.333333333,4.333333333,0,0.693147181,1,-0.484151805,4,Intercultural,7,2,8,12,1.764172118,0,0,-0.721031827,TRUE,,D,-0.563449276,40
8,1,TRUE,2,TRUE,6,0,0.06294132,3.333333333,3.333333333,1,0.405465108,1,1.895143409,3,Intercultural,5,2,4,7,0.744346435,,0,-0.777094538,TRUE,4,B,-0.114187395,40
10,15,TRUE,2,FALSE,8,0,0.21049685,2,0,1,1.945910149,1,1.770310771,4,Intercultural,1,1,9,12,1.045784889,,0,0.792661368,FALSE,2,A,-0.114187395,40
8,5,TRUE,0.5,FALSE,6,0,-0.313145337,4.333333333,,1,1.504077397,0,0.066133939,3,Intercultural,3,1,4,10,-1.184955175,,0,0.792661368,TRUE,,B,1.907491071,50
0,9,TRUE,0.5,TRUE,4,0,-0.897969086,2,2,1,0,1,-0.468587251,4,Intercultural,5,2,4,5,-0.031795955,,0,-0.664969116,TRUE,4,F,-0.563449276,50
8,3,FALSE,0,FALSE,4,0,0.23856839,3,3,0,1.098612289,0,1.666419469,2,Intercultural,3,0,4,7,-1.845587244,,0,-0.58087505,TRUE,0,F,-0.788080217,40
8,3,TRUE,2.5,FALSE,6,0,-1.149893163,3,3,0,0.916290732,1,0.507561059,0,Intercultural,4,2,6,12,0.199224686,,1,-0.777094538,TRUE,2,C,1.233598249,50
8,3,FALSE,0.5,TRUE,6,0,0.847504872,2.666666667,3.333333333,1,0,2,-0.355319451,0,Intercultural,4,1,10,12,-0.385829006,,1,0.792661368,TRUE,0,D,-0.338818335,40
6,3,TRUE,2,TRUE,7,0,-0.734518346,5,,1,1.704748092,1,1.834525176,1,Intercultural,8,2,8,14.5,0.141469526,,1,1.577539322,TRUE,,A,3.030645774,30
